timestamp,open,high,low,close,volume
2026-01-24 15:00:00,2959.49,2968.08,2959.48,2968.08,1877.6683
2026-01-24 15:15:00,2968.08,2968.08,2962.58,2964.03,700.1252
2026-01-24 15:30:00,2964.02,2965.0,2959.77,2959.78,3534.0982
2026-01-24 15:45:00,2959.77,2961.77,2955.57,2957.25,1114.7642
2026-01-24 16:00:00,2957.25,2961.62,2955.54,2956.86,1100.6684
2026-01-24 16:15:00,2956.86,2958.15,2952.23,2955.75,906.8482
2026-01-24 16:30:00,2955.75,2957.13,2953.06,2956.55,304.1855
2026-01-24 16:45:00,2956.56,2961.25,2955.55,2958.9,736.7367
2026-01-24 17:00:00,2958.91,2964.4,2957.96,2963.34,1015.876
2026-01-24 17:15:00,2963.34,2966.1,2961.58,2964.0,586.4712
2026-01-24 17:30:00,2964.0,2964.83,2961.71,2962.6,696.769
2026-01-24 17:45:00,2962.6,2964.95,2961.62,2964.3,850.6638
2026-01-24 18:00:00,2964.31,2965.89,2963.75,2964.81,579.6749
2026-01-24 18:15:00,2964.81,2965.41,2962.31,2965.4,392.0067
2026-01-24 18:30:00,2965.41,2968.49,2961.99,2963.03,2927.9736
2026-01-24 18:45:00,2963.02,2964.43,2963.02,2963.82,289.1532
2026-01-24 19:00:00,2963.82,2964.21,2957.25,2958.24,829.203
2026-01-24 19:15:00,2958.24,2958.76,2956.5,2957.72,442.3518
2026-01-24 19:30:00,2957.71,2958.04,2956.25,2956.95,809.4055
2026-01-24 19:45:00,2956.96,2957.47,2952.44,2953.93,1682.0941
2026-01-24 20:00:00,2953.94,2957.2,2953.76,2956.95,1277.9053
2026-01-24 20:15:00,2956.95,2958.8,2956.95,2957.88,394.3292
2026-01-24 20:30:00,2957.87,2957.88,2956.76,2956.76,336.2441
2026-01-24 20:45:00,2956.77,2956.77,2956.05,2956.25,348.6332
2026-01-24 21:00:00,2956.26,2956.26,2949.23,2951.86,1206.1123
2026-01-24 21:15:00,2951.87,2953.39,2950.94,2952.37,556.9349
2026-01-24 21:30:00,2952.37,2957.57,2951.72,2956.71,1179.2444
2026-01-24 21:45:00,2956.71,2957.95,2954.96,2957.95,670.8413
