timestamp,open,high,low,close,volume
2026-01-24 15:00:00,1.9193,1.9215,1.9191,1.9208,277382.4
2026-01-24 15:15:00,1.9209,1.9209,1.917,1.9176,247536.0
2026-01-24 15:30:00,1.9176,1.9185,1.9152,1.9152,402412.6
2026-01-24 15:45:00,1.9153,1.9159,1.9124,1.9128,379064.1
2026-01-24 16:00:00,1.9128,1.9154,1.9122,1.9142,657366.0
2026-01-24 16:15:00,1.9142,1.915,1.91,1.9147,373011.6
2026-01-24 16:30:00,1.9147,1.915,1.913,1.9144,221936.1
2026-01-24 16:45:00,1.9143,1.917,1.9135,1.9149,276507.9
2026-01-24 17:00:00,1.9149,1.9156,1.9132,1.915,179329.6
2026-01-24 17:15:00,1.915,1.917,1.9144,1.9168,156178.6
2026-01-24 17:30:00,1.9168,1.919,1.9162,1.9173,151172.9
2026-01-24 17:45:00,1.9173,1.9179,1.9167,1.917,78043.4
2026-01-24 18:00:00,1.917,1.918,1.9166,1.9175,111681.5
2026-01-24 18:15:00,1.9175,1.9193,1.9174,1.9185,296658.6
2026-01-24 18:30:00,1.9185,1.9202,1.9173,1.9189,188796.2
2026-01-24 18:45:00,1.919,1.921,1.9184,1.9209,130328.7
2026-01-24 19:00:00,1.921,1.921,1.9158,1.9158,219102.7
2026-01-24 19:15:00,1.9158,1.9166,1.915,1.9165,90029.3
2026-01-24 19:30:00,1.9166,1.9174,1.916,1.9173,108833.8
2026-01-24 19:45:00,1.9173,1.9173,1.916,1.9168,122337.5
2026-01-24 20:00:00,1.9167,1.9177,1.9166,1.9173,147152.8
2026-01-24 20:15:00,1.9173,1.919,1.9172,1.9188,72671.9
2026-01-24 20:30:00,1.9188,1.9188,1.9171,1.9175,80216.9
2026-01-24 20:45:00,1.9174,1.9184,1.9174,1.9177,102419.6
2026-01-24 21:00:00,1.9176,1.9177,1.9143,1.9154,175943.1
2026-01-24 21:15:00,1.9154,1.9168,1.9149,1.9166,227306.7
2026-01-24 21:30:00,1.9166,1.918,1.9155,1.917,319468.2
2026-01-24 21:45:00,1.917,1.9177,1.9168,1.9175,129300.9
2026-01-24 22:00:00,1.9175,1.923,1.9175,1.9219,219022.9
2026-01-24 22:15:00,1.9218,1.9233,1.921,1.921,199549.2
2026-01-24 22:30:00,1.921,1.921,1.918,1.9181,138972.0
2026-01-24 22:45:00,1.9182,1.922,1.9181,1.9218,172772.2
2026-01-24 23:00:00,1.9219,1.9222,1.9175,1.9193,229568.6
2026-01-24 23:15:00,1.9194,1.9198,1.9164,1.9167,276090.7
2026-01-24 23:30:00,1.9167,1.9177,1.9144,1.9156,606955.9
2026-01-24 23:45:00,1.9156,1.9171,1.9141,1.9143,307757.1
2026-01-25 00:00:00,1.9143,1.9168,1.9136,1.9145,762504.5
2026-01-25 00:15:00,1.9144,1.9164,1.9121,1.9129,389604.5
2026-01-25 00:30:00,1.9129,1.9137,1.9117,1.9123,401935.7
2026-01-25 00:45:00,1.9123,1.9148,1.9111,1.9148,212516.8
2026-01-25 01:00:00,1.9148,1.9149,1.9098,1.9103,329414.9
2026-01-25 01:15:00,1.9104,1.9106,1.9074,1.9084,408118.2
2026-01-25 01:30:00,1.9084,1.9084,1.9046,1.9053,611941.6
2026-01-25 01:45:00,1.9052,1.9061,1.9038,1.9061,290897.0
2026-01-25 02:00:00,1.9061,1.9099,1.9054,1.907,372837.7
2026-01-25 02:15:00,1.907,1.9081,1.9058,1.9059,135964.5
2026-01-25 02:30:00,1.9059,1.9082,1.9058,1.9064,147316.3
2026-01-25 02:45:00,1.9064,1.9078,1.9063,1.9069,124577.5
2026-01-25 03:00:00,1.9069,1.9078,1.906,1.906,171747.0
2026-01-25 03:15:00,1.906,1.9061,1.9025,1.9031,415824.9
2026-01-25 03:30:00,1.903,1.9031,1.8992,1.8998,832536.9
2026-01-25 03:45:00,1.8998,1.9016,1.8983,1.9006,228092.3
2026-01-25 04:00:00,1.9007,1.9027,1.9,1.9004,196779.3
2026-01-25 04:15:00,1.9004,1.9019,1.8989,1.9018,264855.1
2026-01-25 04:30:00,1.9019,1.9039,1.9017,1.9028,205230.9
2026-01-25 04:45:00,1.9028,1.9032,1.9013,1.9013,103696.6
2026-01-25 05:00:00,1.9013,1.902,1.9006,1.902,173186.1
2026-01-25 05:15:00,1.902,1.902,1.8996,1.9001,162688.5
2026-01-25 05:30:00,1.9,1.9001,1.8971,1.8983,445864.6
2026-01-25 05:45:00,1.8983,1.902,1.8983,1.9019,119518.6
2026-01-25 06:00:00,1.902,1.902,1.8976,1.8977,367202.2
2026-01-25 06:15:00,1.8977,1.8995,1.8954,1.8967,429156.3
2026-01-25 06:30:00,1.8967,1.9002,1.896,1.8989,345948.1
2026-01-25 06:45:00,1.8988,1.8998,1.898,1.8982,168449.7
